NM_MUNICIPIO,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
SOROCABA,CAIO OLIVEIRA,REPUBLICANOS,12090,0.03561906164837593
SOROCABA,ITALO MOREIRA,UNIÃO,10292,0.030321867864771306
SOROCABA,RAUL MARCELO,PSOL,8377,0.024679973484569493
SOROCABA,JOÃO DONIZETI,UNIÃO,7941,0.02339544818442955
SOROCABA,FAUSTO PERES,PODE,7103,0.020926566988289017
SOROCABA,FERNANDA GARCIA,PSOL,6860,0.02021065036458717
SOROCABA,FABIO SIMOA,REPUBLICANOS,6099,0.01796862340723282
SOROCABA,TATIANE  COSTA,PL,6012,0.017712307578993888
SOROCABA,IARA BERNARDI,PT,5828,0.017170214333063268
SOROCABA,ROBERTO FREITAS,PL,5813,0.017126021948884143
SOROCABA,DYLAN DANTAS,PL,5486,0.016162627973779185
SOROCABA,SILVANO JR,REPUBLICANOS,5110,0.015054872210355749
SOROCABA,FERNANDO DINI,PP,5078,0.014960595124106945
SOROCABA,VINICIUS AITH,REPUBLICANOS,4747,0.013985416513220888
SOROCABA,IZIDIO,PT,4735,0.013950062605877587
SOROCABA,CRISTIANO PASSOS,REPUBLICANOS,4639,0.013667231347131178
SOROCABA,TONINHO CORREDOR,AGIR,4634,0.013652500552404802
SOROCABA,CLAUDIO SOROCABA,PSD,4054,0.011943728364145246
SOROCABA,HENRI ARIDA,MDB,3844,0.011325034985637476
SOROCABA,PASTOR LUIS SANTOS,REPUBLICANOS,3623,0.010673933858731678
SOROCABA,JUSSARA FERNANDES,REPUBLICANOS,3542,0.010435294984164395
SOROCABA,RAFAEL MILITÃO,REPUBLICANOS,3332,0.009816601605656625
SOROCABA,PÉRICLES RÉGIS,AGIR,3323,0.009790086175149149
SOROCABA,RODOLFO GANEM,PODE,3274,0.00964572438683067
SOROCABA,MANU BARROS,PT,3156,0.009298077631288208
SANTO ANDRÉ,BAHIA DO LAVA RÁPIDO,PSDB,10288,0.028539012286089172
SANTO ANDRÉ,DRA ANA VETERINÁRIA,PSD,7137,0.019798107570550002
SANTO ANDRÉ,WILLIAM LAGO,PL,5985,0.01660244834100347
SANTO ANDRÉ,PEDRINHO BOTARO,PSDB,5873,0.016291759249242
SANTO ANDRÉ,RICARDO ALVAREZ,PSOL,5606,0.015551098646560645
SANTO ANDRÉ,RODOLFO DONETTI,CIDADANIA,5352,0.0148465001706016
SANTO ANDRÉ,PROF. JOBERT MINHOCA,PODE,4949,0.013728574242209888
SANTO ANDRÉ,MAJOR VITOR SANTOS,PL,4932,0.013681416076496093
SANTO ANDRÉ,BAHIA,PSDB,4904,0.013603743803555725
SANTO ANDRÉ,LUCAS ZACARIAS,PL,4712,0.013071133931964636
SANTO ANDRÉ,OSVALDINHO,UNIÃO,4662,0.012932433444571125
SANTO ANDRÉ,CICOTE,AVANTE,4622,0.012821473054656314
SANTO ANDRÉ,ANDREIA DO MTST,PSOL,4474,0.012410919611971516
SANTO ANDRÉ,DIEGO CABRAL,MDB,4401,0.012208416900376988
SANTO ANDRÉ,CARLOS FERREIRA,MDB,4270,0.011845021623405984
SANTO ANDRÉ,DR FÁBIO LOPES,CIDADANIA,4005,0.011109909040220368
SANTO ANDRÉ,DR MARCELO CHEHADE,PSDB,3903,0.010826960045937601
SANTO ANDRÉ,WAGNER LIMA,PT,3788,0.010507948924932523
SANTO ANDRÉ,CÉLIO LOPES,PSDB,3768,0.010452468729975116
SANTO ANDRÉ,DANDAN,AVANTE,3591,0.009961469004602081
SANTO ANDRÉ,EDILSON SANTOS,PRD,3574,0.009914310838888288
SANTO ANDRÉ,TONINHO CAIÇARA,PODE,3342,0.00927074057738239
SANTO ANDRÉ,NINO BRANDÃO,AVANTE,3191,0.008851865105453981
SANTO ANDRÉ,RENATINHO,AVANTE,3189,0.00884631708595824
SANTO ANDRÉ,TIAGO NOGUEIRA,PT,3159,0.008763096793522133
