NM_MUNICIPIO,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
ITAPETININGA,JEFERSON BRUN,REPUBLICANOS,50589,0.6446429481624956
ITAPETININGA,MILTON JUNIOR DA RÁDIO,PL,20944,0.266884142922677
ITAPETININGA,PAULA GRANATO,PV,5734,0.07306692491972068
ITAPETININGA,OSMAR THIBES,PSDB,1209,0.015405983995106785
TORRE DE PEDRA,CIRO PEDROSO,REPUBLICANOS,1471,0.6941953751769703
TORRE DE PEDRA,PROFETA GOMES,PP,618,0.291647003303445
TORRE DE PEDRA,MARCOS LOURENÇO,PDT,30,0.014157621519584709
SÃO JOÃO DA BOA VISTA,VANDERLEI,PSD,19429,0.417756084974628
SÃO JOÃO DA BOA VISTA,DU PIRAJÁ,NOVO,14260,0.30661391588543907
SÃO JOÃO DA BOA VISTA,DR ADEMIR,PDT,7323,0.15745678162896706
SÃO JOÃO DA BOA VISTA,TERESINHA,PL,5496,0.11817321751096585
ITU,HERCULANO ,REPUBLICANOS,28189,0.33666145155318816
ITU,RODRIGO MORAES,PL,25897,0.30928807729514757
ITU,MATHEUS COSTA,PSD,15785,0.18852038074309396
ITU,GILMAR PEREIRA,PP,11531,0.13771482485578818
ITU,PROFESSOR ANDERSON,PT,2329,0.027815265552782124
VALINHOS,FRANKLIN,PL,29320,0.45905746046657275
VALINHOS,CAPITÃ LUCIMARA,PSD,16415,0.25700641928918116
VALINHOS,ALEXANDRE TONETTI,UNIÃO,14721,0.23048379520901832
VALINHOS,LÉO PINHO,PT,2247,0.03518083607327384
VALINHOS,LINEU BUENO,NOVO,1167,0.01827148896195397
SÃO JOSÉ DOS CAMPOS,ANDERSON,PSD,145061,0.3965571444583257
SÃO JOSÉ DOS CAMPOS,EDUARDO CURY,PL,94947,0.259559159214983
SÃO JOSÉ DOS CAMPOS,DR ELTON,UNIÃO,72745,0.1988649566294242
SÃO JOSÉ DOS CAMPOS,WAGNER BALIEIRO,PT,42679,0.11667272642775717
SÃO JOSÉ DOS CAMPOS,PROF WILSON CABRAL,PDT,8710,0.023810760495460645
SÃO JOSÉ DOS CAMPOS,TONINHO FERREIRA,PSTU,1659,0.004535252774049278
LUIZIÂNIA,RAFAEL DO TIJOLÃO,UNIÃO,1860,0.6019417475728155
LUIZIÂNIA,DANIELLI BERTAGLIA,MDB,1175,0.3802588996763754
LUIZIÂNIA,NIVALDO FERRES,PT,55,0.01779935275080906
PIRAPOZINHO,LUCAS PADOVAN SANTOS PAVANI,PSD,12507,0.8549456558889876
PIRAPOZINHO,CARLÃO,PSB,2122,0.14505434411101237
BARRINHA,LÚCIA DO KATIÁ,PSB,6897,0.3667056571671629
BARRINHA,PROFESSORA MILA,PP,5253,0.2792960442364951
BARRINHA,MARQUIN,PSD,4677,0.24867077839217355
BARRINHA,PATRICIA BINHARDI,MDB,1981,0.10532752020416844
ITUPEVA,ROGÉRIO CAVALIN,MDB,16633,0.5089345817269445
ITUPEVA,OCIMAR POLLI,PL,13785,0.42179181200660915
ITUPEVA,RENATO DE ANDRADE,PSB,2064,0.06315402974114191
ITUPEVA,CAETANO,PT,200,0.006119576525304449
CATANDUVA,PADRE OSVALDO,PL,30281,0.5102364062210389
CATANDUVA,BETH SAHÃO,PT,20160,0.33969703607596
CATANDUVA,RICARDO REBELATO,PSD,7343,0.1237299273762785
CATANDUVA,DR. NILTON,SOLIDARIEDADE,869,0.014642694660218714
CATANDUVA,LUCIANO BUGATTI,UNIÃO,694,0.011693935666503784
RUBINÉIA,ALEX OLIVO,PL,1909,0.595074812967581
RUBINÉIA,PROFESSOR LUGATO,PSD,1299,0.404925187032419
IBITINGA,FLORISVALDO,PSD,10148,0.3539835356495047
IBITINGA,FEITOSA,MDB,8027,0.2799986047160597
IBITINGA,FRAUZO SANCHES,REPUBLICANOS,2822,0.09843728198688433
IBITINGA,DR FERNANDO INÁCIO,PODE,2395,0.08354262592437561
IBITINGA,DANIELA DA RÁDIO,UNIÃO,2160,0.07534533277521975
IBITINGA,MARQUINHO FONSECA,PP,1737,0.06059020510673922
IBITINGA,PROFESSOR ZÉ GERALDO,PT,1379,0.04810241384121669
TATUÍ,PROFESSOR MIGUEL,PSD,24554,0.4185531160507296
TATUÍ,ALESSANDRA GONZAGA,PP,24106,0.4109164052911496
TATUÍ,EDUARDO SALLUM,PT,9348,0.15934815218873585
TATUÍ,ROGÉRIO MILAGRE,MOBILIZA,656,0.011182326469384971
DUARTINA,SUZY SIMAO,PSDB,3002,0.4192737430167598
DUARTINA,LUIZ HENRIQUE,PODE,2152,0.3005586592178771
DUARTINA,ANINHA BERTOLO,PSD,1791,0.25013966480446925
DUARTINA,ZECA HENRIQUE,MDB,215,0.030027932960893854
LAGOINHA,ZECA,PL,1688,0.3785602152949092
LAGOINHA,GELÃO,PSDB,1187,0.2662031845705315
LAGOINHA,ZIZO,PSD,999,0.22404126485759138
LAGOINHA,RELSON COELHO,MDB,585,0.13119533527696792
SÃO JOSÉ DO RIO PRETO,CORONEL FABIO CANDIDO,PL,88852,0.40458442806209105
SÃO JOSÉ DO RIO PRETO,ITAMAR,MDB,56401,0.2568199514600684
SÃO JOSÉ DO RIO PRETO,VALDOMIRO LOPES,PSB,48012,0.21862093774047983
SÃO JOSÉ DO RIO PRETO,MARCO RILLO,PT,25156,0.1145469530492275
SÃO JOSÉ DO RIO PRETO,MARCELO ZOLA,DC,792,0.003606343886746231
SÃO JOSÉ DO RIO PRETO,BRUNO MENENDEZ,PCO,400,0.0018213858013869852
AMPARO,CARLOS ALBERTO,MDB,15345,0.4064147045580952
AMPARO,PAULO ROSSI,PL,12704,0.3364674100166857
AMPARO,SILVINHA FORATO,PT,6103,0.16163890139576767
AMPARO,JACOB,REPUBLICANOS,2897,0.07672749423947878
AMPARO,MARIO AULER,PODE,708,0.01875148978997272
PIRAJU,CARLINHOS PNEUS,PL,6023,0.4041196994095545
PIRAJU,FABIANO AMORIM,SOLIDARIEDADE,4478,0.3004562533548041
PIRAJU,PAULO SARA,REPUBLICANOS,2858,0.19176060118089103
PIRAJU,ELZA SCOTTI,MDB,852,0.0571658615136876
PIRAJU,BRUNO BELLUCCI,PSOL,693,0.0464975845410628
PAULÍNIA,DANILO BARROS,PL,32346,0.4981672570460496
PAULÍNIA,EDSON MOURA,AVANTE,20053,0.3088402895425843
PAULÍNIA,DIRCEU DALBEN,CIDADANIA,3657,0.05632219313106422
PAULÍNIA,ROBERT PAIVA,UNIÃO,2949,0.04541814261512398
PAULÍNIA,TUTA BOSCO,SOLIDARIEDADE,1885,0.029031264438626213
PAULÍNIA,DR LAFAIETE DO PT,PT,1586,0.02442630525180964
PAULÍNIA,PRISCILLA BITTAR,PSB,1038,0.015986446942861544
PAULÍNIA,BONOMI,NOVO,1022,0.01574002772216233
PAULÍNIA,DR MARQUINHOS,PMB,394,0.006068073309718158
ITÁPOLIS,MI REGGIANI,PL,12622,0.613612056392805
ITÁPOLIS,RODRIGO NOVELLI,REPUBLICANOS,6665,0.3240155566358775
ITÁPOLIS,JULIANE GRECCO,MDB,868,0.04219737481769567
ITÁPOLIS,FERNANDA ORTEGA,PSOL,415,0.020175012153621778
SUD MENNUCCI,LIÓ NETO,REPUBLICANOS,2745,0.5464861636472228
SUD MENNUCCI,JULIAO,PSD,2278,0.4535138363527772
TAQUARITINGA,DR FULVIO,MDB,6690,0.2541407080990731
TAQUARITINGA,ARISTEU SILVA,NOVO,5912,0.22458592919009268
TAQUARITINGA,BOMBEIRO LUCIANO AZEVEDO,PSD,3811,0.14477283087676646
TAQUARITINGA,DR MICHELONI,UNIÃO,3388,0.12870384440054702
TAQUARITINGA,RENATO SCARDOELLI,PT,3365,0.12783011700349492
TAQUARITINGA,RODRIGO DE PIETRO,PL,2539,0.09645190700501444
TAQUARITINGA,CAIO FORCEL,SOLIDARIEDADE,619,0.023514663425011396
SANTA ALBERTINA,JUNINHO FORMIGONI,REPUBLICANOS,3637,1.0
PORTO FERREIRA,ANDRE BRAGA,PL,11181,0.398197941522134
PORTO FERREIRA,MARCOS MAQUININHA,PSD,7999,0.28487481747925497
PORTO FERREIRA,VIVIANE SANTANA,MDB,6920,0.24644752305993803
PORTO FERREIRA,DR PEDRO MELO,REPUBLICANOS,1979,0.07047971793867303
MAIRINQUE,EDUARDO THOMAZ,PL,14861,0.5457783980315105
