NR_ZONA,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,BAIRRO,RANK
1,AMANDA PASCHOAL,PSOL,4851,BELA VISTA,1
1,LUANA ALVES,PSOL,3009,BELA VISTA,2
1,NABIL BONDUKI,PT,2720,BELA VISTA,3
1,LUNA ZARATTINI,PT,2211,BELA VISTA,4
1,LUCAS PAVANATO,PL,1842,BELA VISTA,5
1,ANA CAROLINA OLIVEIRA,PODE,1808,BELA VISTA,6
1,DR. MURILLO LIMA,PP,1414,BELA VISTA,7
1,SILVIA DA BANCADA FEMINISTA,PSOL,1376,BELA VISTA,8
1,MARINA BRAGANTE,REDE,1318,BELA VISTA,9
1,CRIS MONTEIRO,NOVO,1271,BELA VISTA,10
1,RUBINHO NUNES,UNIÃO,1237,BELA VISTA,11
1,JANAINA PASCHOAL,PP,1191,BELA VISTA,12
1,ANDRÉ SANTOS,REPUBLICANOS,1181,BELA VISTA,13
1,ZOE MARTINEZ,PL,1069,BELA VISTA,14
1,CELSO GIANNAZI,PSOL,964,BELA VISTA,15
1,SARGENTO NANTES,PP,862,BELA VISTA,16
1,DR. MILTON FERREIRA,PODE,781,BELA VISTA,17
1,TRIPOLI,PV,718,BELA VISTA,18
1,AMANDA VETTORAZZO,UNIÃO,621,BELA VISTA,19
1,MAJOR PALUMBO,PP,578,BELA VISTA,20
1,GABRIEL ABREU,PODE,568,BELA VISTA,21
1,GEORGE HATO,MDB,564,BELA VISTA,22
1,SIMONE GANEM,PODE,498,BELA VISTA,23
1,KENJI PALUMBO,PODE,497,BELA VISTA,24
1,THAMMY MIRANDA,PSD,488,BELA VISTA,25
1,SONAIRA FERNANDES,PL,447,BELA VISTA,26
1,ISAC FÉLIX,PL,439,BELA VISTA,27
1,PASTORA SANDRA ALVES,UNIÃO,376,BELA VISTA,28
1,ELY TERUEL,MDB,340,BELA VISTA,29
1,RUTE COSTA,PL,299,BELA VISTA,30
1,PROFESSOR TONINHO VESPOLI,PSOL,290,BELA VISTA,31
1,CARLOS BEZERRA JR,PSD,256,BELA VISTA,32
1,JOÃO JORGE,MDB,251,BELA VISTA,33
1,RODRIGO GOULART,PSD,231,BELA VISTA,34
1,ELISEU GABRIEL,PSB,221,BELA VISTA,35
1,PAULO FRANGE,MDB,195,BELA VISTA,36
1,EDIR SALES,PSD,195,BELA VISTA,37
1,RICARDO TEIXEIRA,UNIÃO,180,BELA VISTA,38
1,HÉLIO RODRIGUES,PT,165,BELA VISTA,39
1,DRA SANDRA TADEU,PL,159,BELA VISTA,40
1,MARCELO MESSIAS,MDB,157,BELA VISTA,41
1,JAIR TATTO,PT,141,BELA VISTA,42
1,JOÃO ANANIAS,PT,140,BELA VISTA,43
1,DANILO DO POSTO DE SAÚDE,PODE,139,BELA VISTA,44
1,ALESSANDRO GUEDES,PT,129,BELA VISTA,45
1,SANSÃO PEREIRA,REPUBLICANOS,123,BELA VISTA,46
1,FABIO RIVA,MDB,117,BELA VISTA,47
1,SANDRA SANTANA,MDB,116,BELA VISTA,48
1,DHEISON,PT,112,BELA VISTA,49
1,NUNES PEIXEIRO,MDB,107,BELA VISTA,50
1,SILVINHO,UNIÃO,100,BELA VISTA,51
1,SIDNEY CRUZ,MDB,81,BELA VISTA,52
1,SILVÃO LEITE,UNIÃO,76,BELA VISTA,53
1,ANDRÉ SOUZA,REPUBLICANOS,70,BELA VISTA,54
1,SENIVAL MOURA,PT,48,BELA VISTA,55
1,AMANDA PASCHOAL,PSOL,4851,CONSOLACAO,1
1,LUANA ALVES,PSOL,3009,CONSOLACAO,2
1,NABIL BONDUKI,PT,2720,CONSOLACAO,3
1,LUNA ZARATTINI,PT,2211,CONSOLACAO,4
1,LUCAS PAVANATO,PL,1842,CONSOLACAO,5
1,ANA CAROLINA OLIVEIRA,PODE,1808,CONSOLACAO,6
1,DR. MURILLO LIMA,PP,1414,CONSOLACAO,7
1,SILVIA DA BANCADA FEMINISTA,PSOL,1376,CONSOLACAO,8
1,MARINA BRAGANTE,REDE,1318,CONSOLACAO,9
1,CRIS MONTEIRO,NOVO,1271,CONSOLACAO,10
1,RUBINHO NUNES,UNIÃO,1237,CONSOLACAO,11
1,JANAINA PASCHOAL,PP,1191,CONSOLACAO,12
