NR_ZONA,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,BAIRRO,RANK
1,GUILHERME BOULOS,PSOL,40306,BELA VISTA,1
1,RICARDO NUNES,MDB,20986,BELA VISTA,2
1,PABLO MARÇAL,PRTB,18193,BELA VISTA,3
1,TABATA AMARAL,PSB,9973,BELA VISTA,4
1,DATENA,PSDB,1351,BELA VISTA,5
1,MARINA HELENA,NOVO,1276,BELA VISTA,6
1,RICARDO SENESE,UP,124,BELA VISTA,7
1,ALTINO PRAZERES,PSTU,78,BELA VISTA,8
1,JOÃO PIMENTA,PCO,32,BELA VISTA,9
1,BEBETO HADDAD,DC,28,BELA VISTA,10
1,GUILHERME BOULOS,PSOL,40306,CONSOLACAO,1
1,RICARDO NUNES,MDB,20986,CONSOLACAO,2
1,PABLO MARÇAL,PRTB,18193,CONSOLACAO,3
1,TABATA AMARAL,PSB,9973,CONSOLACAO,4
1,DATENA,PSDB,1351,CONSOLACAO,5
1,MARINA HELENA,NOVO,1276,CONSOLACAO,6
1,RICARDO SENESE,UP,124,CONSOLACAO,7
1,ALTINO PRAZERES,PSTU,78,CONSOLACAO,8
1,JOÃO PIMENTA,PCO,32,CONSOLACAO,9
1,BEBETO HADDAD,DC,28,CONSOLACAO,10
1,GUILHERME BOULOS,PSOL,40306,LIBERDADE,1
1,RICARDO NUNES,MDB,20986,LIBERDADE,2
1,PABLO MARÇAL,PRTB,18193,LIBERDADE,3
1,TABATA AMARAL,PSB,9973,LIBERDADE,4
1,DATENA,PSDB,1351,LIBERDADE,5
1,MARINA HELENA,NOVO,1276,LIBERDADE,6
1,RICARDO SENESE,UP,124,LIBERDADE,7
1,ALTINO PRAZERES,PSTU,78,LIBERDADE,8
1,JOÃO PIMENTA,PCO,32,LIBERDADE,9
1,BEBETO HADDAD,DC,28,LIBERDADE,10
1,GUILHERME BOULOS,PSOL,40306,REPUBLICA,1
1,RICARDO NUNES,MDB,20986,REPUBLICA,2
1,PABLO MARÇAL,PRTB,18193,REPUBLICA,3
1,TABATA AMARAL,PSB,9973,REPUBLICA,4
1,DATENA,PSDB,1351,REPUBLICA,5
1,MARINA HELENA,NOVO,1276,REPUBLICA,6
1,RICARDO SENESE,UP,124,REPUBLICA,7
1,ALTINO PRAZERES,PSTU,78,REPUBLICA,8
1,JOÃO PIMENTA,PCO,32,REPUBLICA,9
1,BEBETO HADDAD,DC,28,REPUBLICA,10
1,GUILHERME BOULOS,PSOL,40306,SE,1
1,RICARDO NUNES,MDB,20986,SE,2
1,PABLO MARÇAL,PRTB,18193,SE,3
1,TABATA AMARAL,PSB,9973,SE,4
1,DATENA,PSDB,1351,SE,5
1,MARINA HELENA,NOVO,1276,SE,6
1,RICARDO SENESE,UP,124,SE,7
1,ALTINO PRAZERES,PSTU,78,SE,8
1,JOÃO PIMENTA,PCO,32,SE,9
1,BEBETO HADDAD,DC,28,SE,10
2,GUILHERME BOULOS,PSOL,37387,BARRA FUNDA,1
2,RICARDO NUNES,MDB,28994,BARRA FUNDA,2
2,PABLO MARÇAL,PRTB,20642,BARRA FUNDA,3
2,TABATA AMARAL,PSB,14376,BARRA FUNDA,4
2,MARINA HELENA,NOVO,2222,BARRA FUNDA,5
2,DATENA,PSDB,866,BARRA FUNDA,6
2,RICARDO SENESE,UP,121,BARRA FUNDA,7
2,ALTINO PRAZERES,PSTU,79,BARRA FUNDA,8
2,BEBETO HADDAD,DC,20,BARRA FUNDA,9
2,JOÃO PIMENTA,PCO,16,BARRA FUNDA,10
2,GUILHERME BOULOS,PSOL,37387,PERDIZES,1
2,RICARDO NUNES,MDB,28994,PERDIZES,2
2,PABLO MARÇAL,PRTB,20642,PERDIZES,3
2,TABATA AMARAL,PSB,14376,PERDIZES,4
2,MARINA HELENA,NOVO,2222,PERDIZES,5
2,DATENA,PSDB,866,PERDIZES,6
2,RICARDO SENESE,UP,121,PERDIZES,7
2,ALTINO PRAZERES,PSTU,79,PERDIZES,8
2,BEBETO HADDAD,DC,20,PERDIZES,9
2,JOÃO PIMENTA,PCO,16,PERDIZES,10
2,GUILHERME BOULOS,PSOL,37387,SANTA CECILIA,1
2,RICARDO NUNES,MDB,28994,SANTA CECILIA,2
2,PABLO MARÇAL,PRTB,20642,SANTA CECILIA,3
2,TABATA AMARAL,PSB,14376,SANTA CECILIA,4
2,MARINA HELENA,NOVO,2222,SANTA CECILIA,5
2,DATENA,PSDB,866,SANTA CECILIA,6
2,RICARDO SENESE,UP,121,SANTA CECILIA,7
2,ALTINO PRAZERES,PSTU,79,SANTA CECILIA,8
2,BEBETO HADDAD,DC,20,SANTA CECILIA,9
2,JOÃO PIMENTA,PCO,16,SANTA CECILIA,10
3,GUILHERME BOULOS,PSOL,29701,BOM RETIRO,1
3,RICARDO NUNES,MDB,24453,BOM RETIRO,2
3,PABLO MARÇAL,PRTB,23934,BOM RETIRO,3
3,TABATA AMARAL,PSB,8517,BOM RETIRO,4
3,DATENA,PSDB,1481,BOM RETIRO,5
3,MARINA HELENA,NOVO,1285,BOM RETIRO,6
3,RICARDO SENESE,UP,138,BOM RETIRO,7
3,ALTINO PRAZERES,PSTU,61,BOM RETIRO,8
3,JOÃO PIMENTA,PCO,21,BOM RETIRO,9
3,BEBETO HADDAD,DC,16,BOM RETIRO,10
3,GUILHERME BOULOS,PSOL,29701,BRAS,1
3,RICARDO NUNES,MDB,24453,BRAS,2
3,PABLO MARÇAL,PRTB,23934,BRAS,3
3,TABATA AMARAL,PSB,8517,BRAS,4
3,DATENA,PSDB,1481,BRAS,5
3,MARINA HELENA,NOVO,1285,BRAS,6
3,RICARDO SENESE,UP,138,BRAS,7
3,ALTINO PRAZERES,PSTU,61,BRAS,8
3,JOÃO PIMENTA,PCO,21,BRAS,9
3,BEBETO HADDAD,DC,16,BRAS,10
3,GUILHERME BOULOS,PSOL,29701,PARI,1
3,RICARDO NUNES,MDB,24453,PARI,2
3,PABLO MARÇAL,PRTB,23934,PARI,3
3,TABATA AMARAL,PSB,8517,PARI,4
3,DATENA,PSDB,1481,PARI,5
3,MARINA HELENA,NOVO,1285,PARI,6
3,RICARDO SENESE,UP,138,PARI,7
3,ALTINO PRAZERES,PSTU,61,PARI,8
3,JOÃO PIMENTA,PCO,21,PARI,9
3,BEBETO HADDAD,DC,16,PARI,10
4,PABLO MARÇAL,PRTB,30053,AGUA RASA,1
4,RICARDO NUNES,MDB,27744,AGUA RASA,2
4,GUILHERME BOULOS,PSOL,20922,AGUA RASA,3
4,TABATA AMARAL,PSB,9372,AGUA RASA,4
4,MARINA HELENA,NOVO,1683,AGUA RASA,5
4,DATENA,PSDB,1271,AGUA RASA,6
4,RICARDO SENESE,UP,102,AGUA RASA,7
4,ALTINO PRAZERES,PSTU,42,AGUA RASA,8
4,JOÃO PIMENTA,PCO,20,AGUA RASA,9
4,BEBETO HADDAD,DC,12,AGUA RASA,10
4,PABLO MARÇAL,PRTB,30053,BELEM,1
4,RICARDO NUNES,MDB,27744,BELEM,2
4,GUILHERME BOULOS,PSOL,20922,BELEM,3
4,TABATA AMARAL,PSB,9372,BELEM,4
4,MARINA HELENA,NOVO,1683,BELEM,5
4,DATENA,PSDB,1271,BELEM,6
4,RICARDO SENESE,UP,102,BELEM,7
4,ALTINO PRAZERES,PSTU,42,BELEM,8
4,JOÃO PIMENTA,PCO,20,BELEM,9
4,BEBETO HADDAD,DC,12,BELEM,10
4,PABLO MARÇAL,PRTB,30053,MOOCA,1
4,RICARDO NUNES,MDB,27744,MOOCA,2
4,GUILHERME BOULOS,PSOL,20922,MOOCA,3
4,TABATA AMARAL,PSB,9372,MOOCA,4
4,MARINA HELENA,NOVO,1683,MOOCA,5
4,DATENA,PSDB,1271,MOOCA,6
4,RICARDO SENESE,UP,102,MOOCA,7
4,ALTINO PRAZERES,PSTU,42,MOOCA,8
4,JOÃO PIMENTA,PCO,20,MOOCA,9
4,BEBETO HADDAD,DC,12,MOOCA,10
5,RICARDO NUNES,MDB,26854,JD PAULISTA,1
5,GUILHERME BOULOS,PSOL,19831,JD PAULISTA,2
5,PABLO MARÇAL,PRTB,16642,JD PAULISTA,3
5,TABATA AMARAL,PSB,12788,JD PAULISTA,4
5,MARINA HELENA,NOVO,2420,JD PAULISTA,5
