NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
LUCAS PAVANATO,PL,161386,0.027839922772876044
ANA CAROLINA OLIVEIRA,PODE,129563,0.022350290076104114
DR. MURILLO LIMA,PP,113820,0.019634540852420602
SARGENTO NANTES,PP,112484,0.01940407391709435
AMANDA PASCHOAL,PSOL,108654,0.018743379035133616
RUBINHO NUNES,UNIÃO,101549,0.017517729652279563
LUNA ZARATTINI,PT,100921,0.017409396392260933
LUANA ALVES,PSOL,83262,0.01436312722240594
DRA SANDRA TADEU,PL,74511,0.012853534294980772
PASTORA SANDRA ALVES,UNIÃO,74192,0.012798505139015896
SILVÃO LEITE,UNIÃO,63988,0.011038262168904318
ISAC FÉLIX,PL,62275,0.010742760776528668
ZOE MARTINEZ,PL,60272,0.010397232878730404
RODRIGO GOULART,PSD,58715,0.010128642296168297
DANILO DO POSTO DE SAÚDE,PODE,58676,0.010121914593714912
GABRIEL ABREU,PODE,58581,0.010105526600559227
EDIR SALES,PSD,58190,0.010038077070834255
ALESSANDRO GUEDES,PT,58183,0.010036869534496467
CELSO GIANNAZI,PSOL,57789,0.009968902489198156
CRIS MONTEIRO,NOVO,56904,0.009816235395063625
SILVINHO,UNIÃO,53453,0.009220919980534514
THAMMY MIRANDA,PSD,50234,0.008665625770343494
NABIL BONDUKI,PT,49540,0.008545907167711444
JANAINA PASCHOAL,PP,48893,0.00843429630906168
FABIO RIVA,MDB,44627,0.007698389163775911
MAJOR PALUMBO,PP,43455,0.007496213079792103
RUTE COSTA,PL,43090,0.007433248685036055
SIDNEY CRUZ,MDB,42988,0.0074156531555425835
GEORGE HATO,MDB,42837,0.007389604871684601
SANSÃO PEREIRA,REPUBLICANOS,42229,0.0072847217154882234
ANDRÉ SANTOS,REPUBLICANOS,41379,0.00713809230304263
HÉLIO RODRIGUES,PT,40753,0.007030104053406227
AMANDA VETTORAZZO,UNIÃO,40144,0.0069250483920187365
MARCELO MESSIAS,MDB,40079,0.006913835554596427
MARINA BRAGANTE,REDE,39147,0.006753060716479611
TRIPOLI,PV,39039,0.006734430155839464
SIMONE GANEM,PODE,38540,0.0066483500654743455
SANDRA SANTANA,MDB,38326,0.006611433954576278
CARLOS BEZERRA JR,PSD,37571,0.006481192535286368
JOÃO JORGE,MDB,36296,0.006261248416617977
ELY TERUEL,MDB,35622,0.006144979917808177
PAULO FRANGE,MDB,35338,0.006095988443532237
PROFESSOR TONINHO VESPOLI,PSOL,34735,0.005991967813291421
SILVIA DA BANCADA FEMINISTA,PSOL,34537,0.005957811785451153
SONAIRA FERNANDES,PL,33957,0.005857758774605925
DR. MILTON FERREIRA,PODE,33493,0.005777716365929742
JOÃO ANANIAS,PT,33225,0.005731484974711602
KENJI PALUMBO,PODE,32495,0.005605556185199503
RICARDO TEIXEIRA,UNIÃO,31566,0.005445298862656024
JAIR TATTO,PT,30905,0.005331272931330686
ELISEU GABRIEL,PSB,30706,0.0052969443982993055
ANDRÉ SOUZA,REPUBLICANOS,30656,0.005288319138743683
DHEISON,PT,30575,0.005274346218263573
SENIVAL MOURA,PT,30480,0.005257958225107889
NUNES PEIXEIRO,MDB,30385,0.005241570231952205
